Electric car segment,2014,2013,Change
Nissan Leaf,15.158,11.097,37%
Renault Zoe,11.090,8.262,34%
Tesla Model S,8.841,3.906,126%
Volkswagen e-Up!,5.450,1.465,272%
Renault Kangoo ZE,4.197,5.880,-29%
Volkswagen e-Golf,3.328,0,new
Smart Fortwo ED,2.726,3.017,-10%
Nissan e-NV200,2.300,0,new
Renault Twizy,2.293,2.999,-24%
Bolloré Blue car,1.170,654,79%
Mitsubishi I-Miev,675,901,-25%
Citroën C-Zero,613,663,-8%
Peugeot iOn,570,469,22%
Kia Soul EV,468,0,new
Goupil G3,451,516,-13%
Peugeot Partner EV,309,0,new
Ford Focus Electric,203,0,new
Citroën Berlingo EV,187,0,new
Mercedes-Benz B-Class ED,150,0,new
Renault Fluence ZE,98,357,-73%
BYD e6,54,0,new
Segment total,60.331,40.186,50%
