Electric Car Segment,2016,2015,Change,%EV 2016,%EV 2015
Renault Zoe,21.240,18.469,15%,100%,100%
Nissan Leaf,18.210,15.303,19%,100%,100%
Tesla Model S,11.564,15.169,-24%,100%,100%
BMW i3 (est.),8.125,3.901,108%,54%,33%
Volkswagen e-Golf,6.657,11.124,-40%,"1,4%","2,1%"
Kia Soul EV,4.417,5.800,-24%,"32,5%","35,5%"
Nissan e-NV200 / Evalia,4.319,3.049,42%,n/a,n/a
Renault Kangoo ZE,3.900,4.328,-10%,n/a,n/a
Tesla Model X,3.683,0,New,100%,–
Mercedes-Benz B250e,3.508,2.760,27%,"4,8%","3,5%"
Volkswagen e-Up!,2.557,2.769,-8%,"2,6%","2,6%"
Renault Twizy,2.230,1.917,16%,100%,100%
Peugeot iOn,1.881,1.461,29%,100%,100%
Citroën C-Zero,1.780,1.075,66%,100%,100%
Hyundai Ioniq EV,1.301,0,New,32%,–
Citroën E-Mehari,569,0,New,100%,–
Mitsubishi i-MiEV,484,714,-32%,100%,100%
Hyundai ix35 FCEV,106,166,-36%,"0,1%","0,1%"
Segment total,97.426,91.326,7%,Column,Column
