Model,2018,2017,Change,2018 EV%,2017 EV%
Nissan Leaf,38.740,16.832,"130,2%",100%,100%
Renault Zoe,37.782,30.134,"25,4%",100%,100%
Volkswagen e-Golf,21.111,12.895,"63,7%","4,7%","2,7%"
BMW i3,18.018,14.076,"28,0%","74,3%","67,0%"
Tesla Model S,17.386,16.026,"8,5%",100%,100%
Tesla Model X,12.108,11.877,"1,9%",100%,100%
Hyundai Ioniq EV,9.786,6.292,"55,5%","30,8%","27,7%"
Smart Fortwo Electric Drive,8.703,5.191,"67,7%","14,0%","7,9%"
Kia Soul,6.591,5.551,"18,7%","58,8%","44,6%"
Jaguar I-Pace,6.294,0,New,100%,–
Hyundai Kona EV,3.563,0,New,"10,7%",–
Opel Ampera-e,2.731,1.986,"37,5%",100%,100%
Peugeot iOn,1.651,1.544,"6,9%",100%,100%
Citroën C-Zero,1.247,1.105,"12,9%",100%,100%
Mitsubishi i-MiEV,325,447,"-27,3%",100%,100%
Citroën e-Mehari,321,353,"-9,1%",100%,100%
Hyundai Nexo FCEV,91,0,New,100%,100%
Hyundai ix35 FCEV,11,160,"-93,1%",0%,0%
